GEOID,kiosks,population,pop_moe,pop_per_kiosk,pois,ct_title,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,variable,geometry
36005014100,3,6384,668,2128,26,"Census Tract 141, Bronx County, New York",36,005,014100,141,Census Tract 141,G5020,S,177165,0,+40.8237653,-073.9122950,B01003_001,"list(list(c(-73.916088, -73.916309, -73.916614, -73.915923, -73.915451, -73.915226, -73.914751, -73.913512, -73.913167, -73.91131, -73.91057, -73.910109, -73.908709, -73.908432, -73.907741, -73.908418, -73.909413, -73.909497, -73.909851, -73.9107, -73.911285, -73.911745, -73.912876, -73.914506, -73.916216, -73.915877, -73.916773, -73.916088, 40.824838, 40.824903, 40.824992, 40.82544, 40.825748, 40.82561, 40.825201, 40.824805, 40.825457, 40.824849, 40.824648, 40.824525, 40.824067, 40.823995, 40.823815, 
40.822181, 40.822418, 40.822438, 40.822553, 40.822324, 40.822198, 40.822107, 40.822441, 40.822942, 40.823468, 40.824104, 40.824387, 40.824838)))"
36005033000,0,5575,693,Inf,9,"Census Tract 330, Bronx County, New York",36,005,033000,330,Census Tract 330,G5020,S,206129,0,+40.8616561,-073.8660255,B01003_001,"list(list(c(-73.867595, -73.86752, -73.867486, -73.867422, -73.86736, -73.866342, -73.8654, -73.864461, -73.864509, -73.864533, -73.864594, -73.864631, -73.864671, -73.865642, -73.866583, -73.867588, -73.867595, 40.858989, 40.859568, 40.861346, 40.863213, 40.865429, 40.865449, 40.865471, 40.865489, 40.863947, 40.863162, 40.861294, 40.859609, 40.857906, 40.857882, 40.857856, 40.85783, 40.858989)))"
36005021100,0,6036,1132,Inf,10,"Census Tract 211, Bronx County, New York",36,005,021100,211,Census Tract 211,G5020,S,151667,0,+40.8403976,-073.9235077,B01003_001,"list(list(c(-73.92578, -73.925268, -73.925092, -73.925013, -73.924848, -73.924136, -73.923815, -73.923604, -73.923597, -73.92354, -73.922818, -73.922898, -73.922921, -73.922802, -73.922422, -73.921945, -73.921495, -73.921357, -73.921298, -73.921328, -73.921435, -73.92164, -73.921903, -73.922216, -73.923231, -73.923707, -73.924924, -73.926191, -73.92578, 40.839233, 40.840176, 40.841088, 40.841245, 40.841495, 40.842466, 40.842886, 40.844215, 40.84424, 40.844457, 40.844262, 40.844011, 40.843327, 40.842775, 
40.841837, 40.841045, 40.840349, 40.840189, 40.839954, 40.839602, 40.839241, 40.838888, 40.838473, 40.837986, 40.83816, 40.838202, 40.83835, 40.838512, 40.839233)))"
36005004600,0,1826,365,Inf,34,"Census Tract 46, Bronx County, New York",36,005,004600,46,Census Tract 46,G5020,S,135339,0,+40.8224189,-073.8691776,B01003_001,"list(list(c(-73.871515, -73.870519, -73.869842, -73.869721, -73.8696, -73.869499, -73.869111, -73.868277, -73.867765, -73.867019, -73.866042, -73.865746, -73.866696, -73.867656, -73.868576, -73.868881, -73.870501, -73.871002, -73.871419, -73.871458, -73.871489, -73.871515, 40.824715, 40.824841, 40.824923, 40.824826, 40.824683, 40.824565, 40.82423, 40.823421, 40.822992, 40.822303, 40.821312, 40.821012, 40.82088, 40.820751, 40.820624, 40.820586, 40.820364, 40.822563, 40.824329, 40.824494, 40.824624, 
40.824715)))"
36005005902,0,2730,480,Inf,2,"Census Tract 59.02, Bronx County, New York",36,005,005902,59.02,Census Tract 59.02,G5020,S,70347,0,+40.8241059,-073.9234371,B01003_001,"list(list(c(-73.925468, -73.925386, -73.925281, -73.925153, -73.925133, -73.925067, -73.924864, -73.924745, -73.924666, -73.924575, -73.924434, -73.924373, -73.924304, -73.924127, -73.923473, -73.923062, -73.922742, -73.922669, -73.921152, -73.921739, -73.922274, -73.922378, -73.923021, -73.923073, -73.923371, -73.924644, -73.924785, -73.925, -73.925041, -73.925105, -73.92528, -73.925433, -73.925746, -73.925468, 40.821472, 40.821572, 40.82172, 40.821904, 40.821935, 40.822053, 40.822439, 40.822687, 
40.822874, 40.823103, 40.823458, 40.823712, 40.823909, 40.824262, 40.825425, 40.826096, 40.826714, 40.826854, 40.826398, 40.82564, 40.82497, 40.824794, 40.823711, 40.823624, 40.8231, 40.821021, 40.821022, 40.82103, 40.821032, 40.821042, 40.821071, 40.821102, 40.821175, 40.821472)))"
36005028100,0,3757,410,Inf,5,"Census Tract 281, Bronx County, New York",36,005,028100,281,Census Tract 281,G5020,S,129158,0,+40.8837896,-073.8906453,B01003_001,"list(list(c(-73.894529, -73.892886, -73.891766, -73.890806, -73.889847, -73.888896, -73.887544, -73.887047, -73.88703, -73.886967, -73.887247, -73.887573, -73.887832, -73.888097, -73.888635, -73.890425, -73.89165, -73.891956, -73.892285, -73.892574, -73.892719, -73.893128, -73.89332, -73.893423, -73.893597, -73.893814, -73.893995, -73.894031, -73.894164, -73.894529, 40.885504, 40.885264, 40.88505, 40.884868, 40.884685, 40.884504, 40.884266, 40.884358, 40.883889, 40.882814, 40.882844, 40.882906, 40.882906, 
40.882855, 40.882765, 40.88251, 40.882331, 40.882327, 40.882447, 40.882584, 40.882664, 40.883679, 40.884136, 40.884247, 40.884338, 40.884473, 40.884714, 40.884967, 40.88528, 40.885504)))"
36005022701,2,4831,569,2415.5,6,"Census Tract 227.01, Bronx County, New York",36,005,022701,227.01,Census Tract 227.01,G5020,S,117193,0,+40.8468041,-073.9110601,B01003_001,"list(list(c(-73.914084, -73.913975, -73.913764, -73.913718, -73.91356, -73.913521, -73.91339, -73.91315, -73.913057, -73.912364, -73.911973, -73.91168, -73.910674, -73.909749, -73.908582, -73.907745, -73.907487, -73.908116, -73.908632, -73.908662, -73.909462, -73.910743, -73.911044, -73.911143, -73.911333, -73.912001, -73.913192, -73.914199, -73.914084, 40.845277, 40.84543, 40.845689, 40.845751, 40.845963, 40.846017, 40.846193, 40.846577, 40.846709, 40.847683, 40.84823, 40.848639, 40.848438, 40.848256, 
40.848023, 40.847856, 40.847804, 40.847276, 40.846965, 40.846946, 40.846401, 40.845459, 40.84521, 40.845063, 40.845068, 40.845087, 40.845116, 40.845115, 40.845277)))"
36005031600,0,1965,324,Inf,NA,"Census Tract 316, Bronx County, New York",36,005,031600,316,Census Tract 316,G5020,S,177170,0,+40.8619716,-073.8487247,B01003_001,"list(list(c(-73.85025, -73.850212, -73.850151, -73.85012, -73.850096, -73.849525, -73.849102, -73.848124, -73.847185, -73.847261, -73.847321, -73.84736, -73.847397, -73.848337, -73.849309, -73.850282, -73.85025, 40.859812, 40.861026, 40.86289, 40.863988, 40.864627, 40.865322, 40.865318, 40.8653, 40.865283, 40.86284, 40.860973, 40.859794, 40.858683, 40.858702, 40.858718, 40.858657, 40.859812)))"
36005019500,4,7766,1193,1941.5,7,"Census Tract 195, Bronx County, New York",36,005,019500,195,Census Tract 195,G5020,S,219844,0,+40.8304774,-073.9225235,B01003_001,"list(list(c(-73.925842, -73.924972, -73.924812, -73.924504, -73.924261, -73.923488, -73.922217, -73.921223, -73.920365, -73.919229, -73.919029, -73.919856, -73.920461, -73.921171, -73.921742, -73.922225, -73.922609, -73.922669, -73.924047, -73.924944, -73.925927, -73.925842, 40.827964, 40.829523, 40.829783, 40.830284, 40.830681, 40.831973, 40.834163, 40.833833, 40.833543, 40.833157, 40.83309, 40.831949, 40.830915, 40.829628, 40.8286, 40.827715, 40.82697, 40.826854, 40.827244, 40.827511, 40.827812, 
40.827964)))"
36005028600,0,960,200,Inf,14,"Census Tract 286, Bronx County, New York",36,005,028600,286,Census Tract 286,G5020,S,200018,0,+40.8491849,-073.8477752,B01003_001,"list(list(c(-73.850499, -73.849689, -73.848613, -73.848214, -73.847298, -73.847224, -73.846704, -73.844451, -73.844362, -73.844758, -73.844929, -73.845112, -73.845252, -73.845296, -73.845358, -73.84542, -73.845746, -73.84604, -73.846351, -73.84657, -73.84721, -73.847885, -73.849073, -73.850345, -73.851368, -73.850499, 40.850696, 40.851059, 40.85108, 40.851091, 40.851087, 40.851145, 40.851241, 40.851244, 40.851119, 40.850468, 40.850144, 40.84995, 40.849632, 40.849455, 40.848677, 40.84854, 40.848025, 
40.847628, 40.847279, 40.847068, 40.846489, 40.845989, 40.847062, 40.848993, 40.850304, 40.850696)))"
